POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,PRICE
Owner,0,0,2,BHK,1300.236407,1,1,12.96991,77.59796,55
Dealer,0,0,2,BHK,1275,1,1,12.274538,76.644605,51
Owner,0,0,2,BHK,933.1597222,1,1,12.778033,77.632191,43
Owner,0,1,2,BHK,929.9211427,1,1,28.6423,77.3445,62.5
Dealer,1,0,2,BHK,999.009247,0,1,22.5922,88.484911,60.5
Owner,0,0,3,BHK,1250,1,1,10.03328,76.282571,42
Dealer,0,0,3,BHK,1495.053957,1,1,26.916347,75.7956,66.5
Owner,0,1,3,BHK,1181.012946,1,1,30.74,76.65,52
Dealer,0,1,2,BHK,1040,1,1,13.054202,77.674002,41.6
Owner,0,1,2,BHK,879.1208791,1,1,12.95161,80.14097,36
Owner,0,0,3,BHK,1350.308642,1,1,26.724219,88.326357,35
Dealer,0,0,2,BHK,1333.010179,1,1,13.04034,77.591347,110
Owner,0,0,2,BHK,927.1779023,1,1,12.96991,77.59796,48
Owner,0,1,2,BHK,1122.171946,1,1,28.587711,77.403123,62
Owner,0,0,1,BHK,649.9837504,1,1,13.0352,77.5772,20
Dealer,1,1,3,BHK,1394.117647,0,1,28.429614,77.481711,71.1
Owner,0,0,3,BHK,1800.08471,1,1,20.275267,85.862407,85
Dealer,1,1,3,BHK,2124.896706,0,1,12.8855,77.5638,180
Owner,0,0,2,BHK,1100,1,1,21.15389,79.08306,22
Dealer,0,1,3,BHK,2178.649237,1,1,13.092356,77.613468,120
Owner,0,0,2,BHK,881.1435285,1,1,13.05,80.11,45
Dealer,0,0,2,BHK,944.8818898,1,1,18.452663,73.93104,42
Dealer,0,1,3,BHK,1310.147689,1,1,28.5041,77.381557,55
Dealer,0,0,1,BHK,630.00063,1,1,19.05444,72.84056,300
Dealer,0,0,2,BHK,1219.80971,1,1,21.105779,79.078497,50
Owner,0,0,2,BHK,780.141844,1,1,22.54111,88.33778,27.5
Owner,0,0,3,BHK,1600,1,1,28.63601,77.433724,46
Dealer,0,0,2,BHK,1180.412371,1,1,30.712867,76.648557,22.9
Owner,1,0,2,BHK,1000,0,1,24.48,86.7,39
Dealer,0,0,2,BHK,1000,1,1,28.2102,76.8606,12.5
Dealer,0,0,3,BHK,1400.107701,1,1,28.40473,77.367514,52
Dealer,0,1,2,BHK,943.1266076,1,1,28.5041,77.381557,33
Owner,0,0,2,BHK,1150.146382,1,1,26.586306,74.873234,55
Dealer,1,1,1,BHK,864.0674394,0,1,19.18,72.96333,82
Dealer,0,1,2,BHK,857.7861968,1,0,19.1759,72.9522,240
Owner,0,0,3,BHK,1174.210077,1,1,12.852171,80.216826,55
Dealer,1,1,2,BHK,1020.087884,0,1,18.5993,73.7625,65
Owner,0,0,4,BHK,1650.165017,1,1,22.312063,72.674296,65
Dealer,1,0,2,BHK,1000,0,1,17.815234,83.35818,35
Owner,0,0,3,BHK,1300.052002,1,1,12.894088,77.548914,75
Dealer,1,1,1,BHK,40606.19568,0,0,24.69028,78.41889,9110
Dealer,0,1,2,BHK,1058.114928,1,1,18.539812,73.737678,65
Dealer,1,0,1,BHK,400,0,1,18.5438,73.9438,30
Dealer,0,1,3,BHK,1274.924779,1,1,22.803593,83.755013,250
Dealer,0,0,2,BHK,1026.694045,1,1,19.014858,72.8662,220
Owner,0,0,2,BHK,1150.121065,1,1,20.36667,72.9,38
Owner,0,0,3,BHK,1200,1,1,28.460928,77.039391,60
Dealer,0,0,1,RK,475.0103263,1,1,24.69028,78.41889,46
Builder,1,1,1,BHK,301.9171163,0,0,24.69028,78.41889,26.3
Dealer,1,1,2,BHK,1228.571429,0,1,12.843852,74.845271,51.6
Owner,0,0,2,BHK,986.0164934,1,1,13.077175,80.151453,55
Dealer,1,1,3,BHK,1972.565158,0,1,28.431862,77.351104,71.9
Dealer,1,1,1,BHK,420.6166888,0,1,19.048403,72.88731,130
Owner,0,0,3,BHK,1275.009808,1,1,25.232239,71.392013,32.5
Dealer,1,1,1,BHK,406.024219,0,0,19.245347,73.124577,39.9
Dealer,0,0,3,BHK,1862.562189,1,1,28.431862,77.351104,59.9
Owner,0,0,2,BHK,950.0146156,1,1,19.88879,75.34344,65
Owner,0,1,4,BHK,5200.945626,1,1,28.567633,77.383124,110
Dealer,0,0,2,BHK,1049.969344,1,1,12.985039,77.54383,68.5
Dealer,0,0,3,BHK,1615.008157,1,1,22.589694,88.372957,99
Dealer,0,0,3,BHK,1150.0069,1,1,19.014858,72.8662,250
Owner,0,0,2,BHK,1100,1,1,26.955346,75.734793,27.5
Dealer,1,1,2,BHK,906.2661833,0,0,24.69028,78.41889,70
Owner,0,0,3,BHK,1454.333915,1,1,10.77,76.38,50
Owner,0,0,3,BHK,1591.994542,1,1,28.506454,77.409568,70
Dealer,0,1,2,BHK,573.8769151,1,1,28.406388,77.342588,22.1
Dealer,0,1,3,BHK,1038.883942,1,1,19.12,72.91,280
Owner,0,0,3,BHK,1538.141758,1,1,13.11389,77.59833,74
Owner,0,0,2,BHK,5000,1,1,26.850391,75.814198,85
Dealer,0,0,3,BHK,1602.084012,1,1,28.368269,77.37273,49.2
Owner,0,0,2,BHK,1200,1,1,16.51667,80.61667,45
Owner,0,0,2,BHK,760.07094,1,1,15.86667,74.5,60
Owner,1,0,2,BHK,739.8273736,0,1,23.25,77.41667,30
Owner,0,0,2,BHK,1260.02291,1,1,13.0915,74.7844,33
Owner,0,0,2,BHK,1100.151745,1,1,21.093676,79.111965,29
Dealer,0,1,3,BHK,2293.077091,1,1,18.5438,73.9438,210
Dealer,0,0,2,BHK,1146.480331,1,1,19.216097,72.821721,88.6
Dealer,0,1,4,BHK,2224.059764,1,1,19.1615,72.8731,780
Dealer,0,0,2,BHK,759.8784195,1,1,22.452032,88.298947,30
Owner,0,0,4,BHK,2260.251857,1,1,12.9506,77.5952,140
Dealer,0,0,3,BHK,767.0182167,1,1,20.742166,80.104602,240
